Visi studentai:
Vardas    Pavarde      vidurkis     mediana
vardas77  pavarde77       7.92          8
vardas78  pavarde78       7.78          6
vardas79  pavarde79       6.56          3
vardas80  pavarde80       6.11          4
vardas81  pavarde81       4.62          3
vardas82  pavarde82       3.92          3
vardas83  pavarde83       8.18          8
vardas84  pavarde84       8.44          8
vardas85  pavarde85       5.49          4
vardas86  pavarde86        6.9          5
vardas87  pavarde87       6.38          5
vardas88  pavarde88       7.28          7
vardas89  pavarde89       7.46          6
vardas90  pavarde90       6.69          4
vardas91  pavarde91       6.34          3
vardas92  pavarde92       7.67          5
vardas93  pavarde93       7.93          6
vardas94  pavarde94       6.59          3
vardas95  pavarde95       4.72          4
vardas96  pavarde96       6.34          5
vardas97  pavarde97       7.67          6
vardas98  pavarde98       4.93          2
vardas99  pavarde99       3.59          2
vardas100 pavarde100       6.32          4
vardas101 pavarde101       6.66          7
vardas102 pavarde102       8.93         10
vardas103 pavarde103       7.79          8
vardas104 pavarde104       5.96          3
vardas105 pavarde105       5.39          4
vardas106 pavarde106       5.28          4
vardas107 pavarde107       6.66          7
vardas108 pavarde108       5.53          3
vardas109 pavarde109       7.11          6
vardas110 pavarde110       8.82          9
vardas111 pavarde111       7.36          6
vardas112 pavarde112       6.67          4
vardas113 pavarde113       6.13          4
vardas114 pavarde114       8.23          7
vardas115 pavarde115       7.05          5
vardas116 pavarde116       7.01          6
vardas117 pavarde117          7          6
vardas118 pavarde118        6.6          6
vardas119 pavarde119       6.52          6
vardas120 pavarde120        7.5          6
vardas121 pavarde121        7.3          7
vardas122 pavarde122       7.06          6
vardas123 pavarde123       8.01          7
vardas124 pavarde124          8          7
vardas125 pavarde125          7          4
vardas126 pavarde126        6.6          6
vardas127 pavarde127       7.32          6
vardas128 pavarde128       8.06          5
vardas129 pavarde129       7.21          4
vardas130 pavarde130       6.24          2
vardas131 pavarde131       5.85          4
vardas132 pavarde132       6.17          4
vardas133 pavarde133       6.23          3
vardas134 pavarde134       4.25          3
vardas135 pavarde135       6.45          6
vardas136 pavarde136       7.49          7
vardas137 pavarde137       10.3         10
vardas138 pavarde138       8.86          7
vardas139 pavarde139       8.37          7
vardas140 pavarde140       5.47          4
vardas141 pavarde141       7.09          7
vardas142 pavarde142       5.42          3
vardas143 pavarde143       6.88          6
vardas144 pavarde144       5.18          3
vardas145 pavarde145       7.04          6
vardas146 pavarde146       5.21          3
vardas147 pavarde147       6.24          5
vardas148 pavarde148       5.85          4
vardas149 pavarde149       6.17          4
vardas150 pavarde150       6.43          4
vardas151 pavarde151       7.89          6
vardas152 pavarde152       6.78          6
vardas153 pavarde153       7.16          6
vardas154 pavarde154       5.43          3
vardas155 pavarde155       6.49          7
vardas156 pavarde156        6.3          5
vardas157 pavarde157       6.06          6
vardas158 pavarde158       8.81          7
vardas159 pavarde159       5.36          3
vardas160 pavarde160       9.07          9
vardas161 pavarde161       9.01          6
vardas162 pavarde162        6.2          2
vardas163 pavarde163       7.04          4
vardas164 pavarde164       8.01          5
vardas165 pavarde165        7.6          6
vardas166 pavarde166       6.12          4
vardas167 pavarde167       4.22          2
vardas168 pavarde168       7.84          7
vardas169 pavarde169       8.17          6
vardas170 pavarde170       7.63          6
vardas171 pavarde171       8.13          8
vardas172 pavarde172       6.83          5
vardas173 pavarde173       6.17          5
vardas174 pavarde174       4.83          4
vardas175 pavarde175       3.97          3
vardas176 pavarde176       7.19          6
vardas177 pavarde177       7.64          6
vardas178 pavarde178       7.33          5
vardas179 pavarde179       4.47          4
vardas180 pavarde180       6.89          6
vardas181 pavarde181       7.38          6
vardas182 pavarde182       5.28          4
vardas183 pavarde183       6.66          6
vardas184 pavarde184       7.73          5
vardas185 pavarde185       9.95          9
vardas186 pavarde186       5.59          2
vardas187 pavarde187       6.52          6
vardas188 pavarde188        5.7          2
vardas189 pavarde189       5.94          3
vardas190 pavarde190       5.19          4
vardas191 pavarde191       8.64          9
vardas192 pavarde192       6.73          4
vardas193 pavarde193       7.15          4
vardas194 pavarde194       6.63          3
vardas195 pavarde195       5.73          4
vardas196 pavarde196       6.15          6
vardas197 pavarde197       6.03          5
vardas198 pavarde198       8.01          8
vardas199 pavarde199        7.2          4
vardas200 pavarde200       6.64          4
vardas201 pavarde201       7.73          7
vardas202 pavarde202       6.75          6
vardas203 pavarde203       7.15          6
vardas204 pavarde204       6.23          4
vardas205 pavarde205       5.85          4
vardas206 pavarde206       3.57          2
vardas207 pavarde207       8.51          9
vardas208 pavarde208        6.1          3
vardas209 pavarde209       7.02          5
vardas210 pavarde210        8.2          8
vardas211 pavarde211       5.24          4
vardas212 pavarde212       7.45          5
vardas213 pavarde213       7.69          5
vardas214 pavarde214       4.34          3
vardas215 pavarde215       7.87          9
vardas216 pavarde216       6.57          4
vardas217 pavarde217       3.11          2
vardas218 pavarde218       7.02          7
vardas219 pavarde219        6.2          4
vardas220 pavarde220       4.64          3
vardas221 pavarde221       8.53          8
vardas222 pavarde222       5.71          3
vardas223 pavarde223       5.54          3
vardas224 pavarde224       5.31          2
vardas225 pavarde225       6.46          4
vardas226 pavarde226       4.89          4
vardas227 pavarde227       5.58          4
vardas228 pavarde228       6.52          4
vardas229 pavarde229        5.5          2
vardas230 pavarde230        5.1          2
vardas231 pavarde231       9.42          9
vardas232 pavarde232       7.28          6
vardas233 pavarde233       6.86          6
vardas234 pavarde234       7.17          7
vardas235 pavarde235       6.23          6
vardas236 pavarde236       6.25          6
vardas237 pavarde237       6.05          4
vardas238 pavarde238       5.41          4
vardas239 pavarde239       10.5         10
vardas240 pavarde240       10.5          9
vardas241 pavarde241        6.1          5
vardas242 pavarde242       7.02          5
vardas243 pavarde243        7.6          8
vardas244 pavarde244       7.12          5
vardas245 pavarde245       10.4          9
vardas246 pavarde246       7.68          6
vardas247 pavarde247       5.34          3
vardas248 pavarde248       7.27          7
vardas249 pavarde249       6.45          6
vardas250 pavarde250       5.29          3
vardas251 pavarde251       8.26          7
vardas252 pavarde252       6.45          6
vardas253 pavarde253       6.29          5
vardas254 pavarde254       4.46          2
vardas255 pavarde255       6.49          6
vardas256 pavarde256        7.1          6
vardas257 pavarde257       7.22          6
vardas258 pavarde258       7.44          6
vardas259 pavarde259       6.49          4
vardas260 pavarde260        6.3          5
vardas261 pavarde261       10.3          9
vardas262 pavarde262       7.05          5
vardas263 pavarde263       6.61          5
vardas264 pavarde264       7.72          5
vardas265 pavarde265       9.34          8
vardas266 pavarde266       7.47          5
vardas267 pavarde267       7.89          7
vardas268 pavarde268       9.18          9
vardas269 pavarde269       6.84          5
vardas270 pavarde270       8.17          6
vardas271 pavarde271       7.03          6
vardas272 pavarde272       5.01          5
vardas273 pavarde273          6          5
vardas274 pavarde274        8.2          7
vardas275 pavarde275       8.04          7
vardas276 pavarde276       8.01          7
vardas277 pavarde277          9          8
vardas278 pavarde278        7.4          5
vardas279 pavarde279       8.08          7
vardas280 pavarde280       6.62          5
vardas281 pavarde281       6.12          4
vardas282 pavarde282       5.62          5
vardas283 pavarde283       6.52          5
vardas284 pavarde284        6.9          5
vardas285 pavarde285       4.98          4
vardas286 pavarde286        5.8          4
vardas287 pavarde287       6.96          4
vardas288 pavarde288       5.39          3
vardas289 pavarde289       4.88          4
vardas290 pavarde290       4.78          2
vardas291 pavarde291       8.76          8
vardas292 pavarde292       6.75          4
vardas293 pavarde293       7.95          7
vardas294 pavarde294       8.19          7
vardas295 pavarde295       6.84          4
vardas296 pavarde296       6.77          5
vardas297 pavarde297       5.15          3
vardas298 pavarde298       6.03          5
vardas299 pavarde299       4.41          3
vardas300 pavarde300       4.68          4
vardas301 pavarde301       8.74          8
vardas302 pavarde302       5.55          4
vardas303 pavarde303       7.31          8
vardas304 pavarde304       7.06          7
vardas305 pavarde305       4.01          2
vardas306 pavarde306          7          8
vardas307 pavarde307        7.8          7
vardas308 pavarde308       6.96          4
vardas309 pavarde309       5.39          3
vardas310 pavarde310       7.28          7
vardas311 pavarde311       5.66          3
vardas312 pavarde312       2.93          1
vardas313 pavarde313       6.59          7
vardas314 pavarde314       8.12          9
vardas315 pavarde315       9.22         10
vardas316 pavarde316       8.04          7
vardas317 pavarde317       6.01          5
vardas318 pavarde318        7.6          9
vardas319 pavarde319       5.52          2
vardas320 pavarde320        8.5          8
vardas321 pavarde321        7.3          6
vardas322 pavarde322       7.66          6
vardas323 pavarde323       5.13          4
vardas324 pavarde324       5.83          5
vardas325 pavarde325       5.77          4
vardas326 pavarde326       7.55          7
vardas327 pavarde327       4.71          3
vardas328 pavarde328       5.14          4
vardas329 pavarde329       5.43          4
vardas330 pavarde330       6.49          5
vardas331 pavarde331        6.9          8
vardas332 pavarde332       5.98          5
vardas333 pavarde333        5.8          4
vardas334 pavarde334       3.96          2
vardas335 pavarde335       5.99          6
vardas336 pavarde336        4.6          3
vardas337 pavarde337       8.32          7
vardas338 pavarde338       6.86          5
vardas339 pavarde339       3.57          2
vardas340 pavarde340       4.51          5
vardas341 pavarde341        5.1          4
vardas342 pavarde342       9.42          9
vardas343 pavarde343       10.1         10
vardas344 pavarde344       5.82          3
vardas345 pavarde345       8.36          8
vardas346 pavarde346       4.87          3
vardas347 pavarde347       7.37          6
vardas348 pavarde348       6.47          5
vardas349 pavarde349       7.89          6
vardas350 pavarde350       4.78          3
vardas351 pavarde351       5.56          4
vardas352 pavarde352       4.51          3
vardas353 pavarde353        3.9          3
vardas354 pavarde354       6.78          7
vardas355 pavarde355       6.36          5
vardas356 pavarde356       8.87          7
vardas357 pavarde357       8.77          8
vardas358 pavarde358       5.55          4
vardas359 pavarde359       6.91          6
vardas360 pavarde360       6.98          4
vardas361 pavarde361        6.6          5
vardas362 pavarde362       6.32          6
vardas363 pavarde363       5.26          4
vardas364 pavarde364       7.45          6
vardas365 pavarde365       6.69          5
vardas366 pavarde366       5.54          5
vardas367 pavarde367       6.71          4
vardas368 pavarde368       8.34          9
vardas369 pavarde369       6.67          5
vardas370 pavarde370       6.33          5
vardas371 pavarde371       8.47          8
vardas372 pavarde372       8.49          7
vardas373 pavarde373        8.3          8
vardas374 pavarde374       8.06          7
vardas375 pavarde375       8.61          6
vardas376 pavarde376       8.72          6
vardas377 pavarde377       7.54          5
vardas378 pavarde378       7.11          5
vardas379 pavarde379       9.02          8
vardas380 pavarde380        7.2          4
vardas381 pavarde381       5.64          4
vardas382 pavarde382       5.33          4
vardas383 pavarde383       7.87          6
vardas384 pavarde384       7.17          4
vardas385 pavarde385       5.63          2
vardas386 pavarde386       7.33          8
vardas387 pavarde387       7.87          7
vardas388 pavarde388       6.57          7
vardas389 pavarde389       4.11          2
vardas390 pavarde390       7.82          6
vardas391 pavarde391       7.96          7
vardas392 pavarde392       9.59          9
vardas393 pavarde393       6.32          3
vardas394 pavarde394       7.66          7
vardas395 pavarde395       5.73          3
vardas396 pavarde396       7.15          7
vardas397 pavarde397       9.03          7
vardas398 pavarde398       9.01          9
vardas399 pavarde399        8.8          8
vardas400 pavarde400       8.76          8
vardas401 pavarde401       9.15          7
vardas402 pavarde402       7.43          6
vardas403 pavarde403       9.49          8
vardas404 pavarde404        7.1          6
vardas405 pavarde405       9.22          9
vardas406 pavarde406       9.04          8
vardas407 pavarde407       6.41          3
vardas408 pavarde408       6.88          5
vardas409 pavarde409       7.38          9
vardas410 pavarde410       7.68          5
vardas411 pavarde411       4.34          1
vardas412 pavarde412       7.27          6
vardas413 pavarde413       7.85          6
vardas414 pavarde414       5.77          5
vardas415 pavarde415       4.35          3
vardas416 pavarde416       6.27          7
vardas417 pavarde417       7.65          7
vardas418 pavarde418       7.33          6
vardas419 pavarde419       7.47          6
vardas420 pavarde420       7.29          6
vardas421 pavarde421       9.06          7
vardas422 pavarde422       8.21          7
vardas423 pavarde423       6.24          3
vardas424 pavarde424       7.05          6
vardas425 pavarde425       7.01          5
vardas426 pavarde426          6          6
vardas427 pavarde427          8          7
vardas428 pavarde428        7.6          7
vardas429 pavarde429       4.12          2
vardas430 pavarde430       5.42          6
vardas431 pavarde431       9.48          8
vardas432 pavarde432        6.3          3
vardas433 pavarde433       7.46          7
vardas434 pavarde434       6.69          6
vardas435 pavarde435       6.34          3
vardas436 pavarde436       6.47          5
vardas437 pavarde437       5.69          4
vardas438 pavarde438       7.74          9
vardas439 pavarde439       8.75          8
vardas440 pavarde440       6.95          5
vardas441 pavarde441       9.19          8
vardas442 pavarde442       7.24          6
vardas443 pavarde443       5.05          3
vardas444 pavarde444       8.21         10
vardas445 pavarde445       8.04          5
vardas446 pavarde446       8.61          6
vardas447 pavarde447       6.92          6
vardas448 pavarde448       7.38          6
vardas449 pavarde449       7.48          5
vardas450 pavarde450        6.7          5
vardas451 pavarde451       6.94          6
vardas452 pavarde452       5.39          5
vardas453 pavarde453       6.08          6
vardas454 pavarde454       7.22          7
vardas455 pavarde455       7.44          6
vardas456 pavarde456       7.49          6
vardas457 pavarde457        6.7          5
vardas458 pavarde458       5.74          4
vardas459 pavarde459       4.95          3
vardas460 pavarde460       4.79          3
vardas461 pavarde461       6.16          5
vardas462 pavarde462       6.43          7
vardas463 pavarde463       3.09          2
vardas464 pavarde464       5.62          5
vardas465 pavarde465       6.52          6
vardas466 pavarde466        9.7         10
vardas467 pavarde467       5.14          3
vardas468 pavarde468       6.63          5
vardas469 pavarde469       6.73          5
vardas470 pavarde470       8.55          8
vardas471 pavarde471       7.11          6
vardas472 pavarde472       5.22          5
vardas473 pavarde473       6.64          7
vardas474 pavarde474       7.73          6
vardas475 pavarde475       7.55          8
vardas476 pavarde476       7.91          8
vardas477 pavarde477       4.98          3
vardas478 pavarde478          8          8
vardas479 pavarde479        9.4          9
vardas480 pavarde480       8.08          6
vardas481 pavarde481       7.62          6
vardas482 pavarde482       7.72          6
vardas483 pavarde483       7.14          4
vardas484 pavarde484       5.03          4
vardas485 pavarde485       4.61          3
vardas486 pavarde486       3.92          2
vardas487 pavarde487       5.38          3
vardas488 pavarde488       4.48          2
vardas489 pavarde489        5.1          3
vardas490 pavarde490       6.62          6
vardas491 pavarde491       6.12          5
vardas492 pavarde492       6.62          6
vardas493 pavarde493       6.92          7
vardas494 pavarde494       4.18          3
vardas495 pavarde495       4.64          2
vardas496 pavarde496       7.13          6
vardas497 pavarde497       7.63          7
vardas498 pavarde498       8.13          7
vardas499 pavarde499       8.63          7
vardas500 pavarde500       5.53          3
vardas501 pavarde501       5.51          4
vardas502 pavarde502        7.5          6
vardas503 pavarde503        7.9          7
vardas504 pavarde504       8.78          7
vardas505 pavarde505       8.56          7
vardas506 pavarde506       5.51          3
vardas507 pavarde507        6.1          5
vardas508 pavarde508       4.02          2
vardas509 pavarde509          7          7
vardas510 pavarde510          7          6
vardas511 pavarde511          9          7
vardas512 pavarde512        6.2          5
vardas513 pavarde513       6.44          6
vardas514 pavarde514       7.89          8
vardas515 pavarde515       9.18          9
vardas516 pavarde516       8.04          8
vardas517 pavarde517       6.61          4
vardas518 pavarde518       6.32          5
vardas519 pavarde519       6.86          6
vardas520 pavarde520       5.77          4
vardas521 pavarde521       6.75          5
vardas522 pavarde522       6.15          6
vardas523 pavarde523       6.83          4
vardas524 pavarde524       5.97          5
vardas525 pavarde525       9.39          8
vardas526 pavarde526       8.08          8
vardas527 pavarde527       9.02          7
vardas528 pavarde528        7.8          7
vardas529 pavarde529       6.96          5
vardas530 pavarde530       6.19          5
vardas531 pavarde531       6.04          4
vardas532 pavarde532       4.81          1
vardas533 pavarde533       6.76          8
vardas534 pavarde534       4.95          3
vardas535 pavarde535       6.39          5
vardas536 pavarde536       6.28          6
vardas537 pavarde537       8.86          9
vardas538 pavarde538       8.37          7
vardas539 pavarde539       7.27          6
vardas540 pavarde540       6.65          5
vardas541 pavarde541       6.93          5
vardas542 pavarde542       6.19          4
vardas543 pavarde543       9.24          8
vardas544 pavarde544       8.45          6
vardas545 pavarde545       8.29          7
vardas546 pavarde546       7.06          5
vardas547 pavarde547       7.01          5
vardas548 pavarde548        7.4          7
vardas549 pavarde549       8.08          6
vardas550 pavarde550       6.42          4
vardas551 pavarde551       5.88          4
vardas552 pavarde552       6.58          6
vardas553 pavarde553       8.12          8
vardas554 pavarde554       7.42          7
vardas555 pavarde555       8.88         10
vardas556 pavarde556       9.58          9
vardas557 pavarde557       6.92          4
vardas558 pavarde558       8.78          8
vardas559 pavarde559       7.76          7
vardas560 pavarde560       6.95          6
vardas561 pavarde561       8.59          7
vardas562 pavarde562       6.52          5
vardas563 pavarde563        7.3          5
vardas564 pavarde564       5.66          4
vardas565 pavarde565       6.93          6
vardas566 pavarde566       7.19          5
vardas567 pavarde567       5.64          3
vardas568 pavarde568       9.13         10
vardas569 pavarde569       7.43          7
vardas570 pavarde570       6.29          6
vardas571 pavarde571       6.66          4
vardas572 pavarde572       7.33          6
vardas573 pavarde573       9.07          9
vardas574 pavarde574       9.81          9
vardas575 pavarde575       9.96          9
vardas576 pavarde576       6.79          5
vardas577 pavarde577       6.76          7
vardas578 pavarde578       7.15          7
vardas579 pavarde579       7.43          6
vardas580 pavarde580       5.89          3
vardas581 pavarde581       3.18          1
vardas582 pavarde582       6.64          6
vardas583 pavarde583       9.93          9
vardas584 pavarde584       6.99          2
vardas585 pavarde585        6.2          5
vardas586 pavarde586       7.44          6
vardas587 pavarde587       6.89          5
vardas588 pavarde588       6.78          6
vardas589 pavarde589       6.76          5
vardas590 pavarde590       5.55          3
vardas591 pavarde591       9.11          8
vardas592 pavarde592       6.02          3
vardas593 pavarde593        8.6          7
vardas594 pavarde594       7.12          6
vardas595 pavarde595       7.82          7
vardas596 pavarde596       7.76          6
vardas597 pavarde597       8.35          7
vardas598 pavarde598       7.27          4
vardas599 pavarde599       7.65          7
vardas600 pavarde600       7.93          7
vardas601 pavarde601       7.99          8
vardas602 pavarde602        7.6          7
vardas603 pavarde603       8.72          7
vardas604 pavarde604       9.14          7
vardas605 pavarde605       9.03          8
vardas606 pavarde606       7.01          5
vardas607 pavarde607        7.8          7
vardas608 pavarde608       7.56          6
vardas609 pavarde609       7.51          8
vardas610 pavarde610        6.3          4
vardas611 pavarde611       6.66          5
vardas612 pavarde612       9.13          8
vardas613 pavarde613       7.43          4
vardas614 pavarde614       7.29          6
vardas615 pavarde615       8.06          6
vardas616 pavarde616       6.21          4
vardas617 pavarde617       5.64          4
vardas618 pavarde618       7.73          9
vardas619 pavarde619       7.35          8
vardas620 pavarde620       5.47          5
vardas621 pavarde621       8.09          7
vardas622 pavarde622       8.62          8
vardas623 pavarde623       5.92          3
vardas624 pavarde624       6.58          6
vardas625 pavarde625       8.72          7
vardas626 pavarde626       6.14          5
vardas627 pavarde627       6.63          6
vardas628 pavarde628       8.33          6
vardas629 pavarde629       6.67          5
vardas630 pavarde630       9.93          9
vardas631 pavarde631       7.39          7
vardas632 pavarde632       7.08          6
vardas633 pavarde633       8.02          8
vardas634 pavarde634        7.4          7
vardas635 pavarde635       7.08          4
vardas636 pavarde636       5.82          4
vardas637 pavarde637       6.36          7
vardas638 pavarde638       4.67          3
vardas639 pavarde639       4.73          4
vardas640 pavarde640       4.55          3
vardas641 pavarde641       6.91          5
vardas642 pavarde642       4.78          4
vardas643 pavarde643       5.56          4
vardas644 pavarde644       6.31          6
vardas645 pavarde645       7.26          7
vardas646 pavarde646       5.05          4
vardas647 pavarde647       5.81          5
vardas648 pavarde648       4.76          3
vardas649 pavarde649       4.95          4
vardas650 pavarde650       8.19          8
vardas651 pavarde651       6.44          4
vardas652 pavarde652       5.69          3
vardas653 pavarde653       7.34          6
vardas654 pavarde654       7.47          6
vardas655 pavarde655       5.69          2
vardas656 pavarde656       8.14          7
vardas657 pavarde657       8.63          8
vardas658 pavarde658       8.53          7
vardas659 pavarde659       6.11          4
vardas660 pavarde660       3.82          3
vardas661 pavarde661       3.56          1
vardas662 pavarde662       6.51          5
vardas663 pavarde663        4.7          3
vardas664 pavarde664       5.54          4
vardas665 pavarde665       4.91          3
vardas666 pavarde666       4.98          3
vardas667 pavarde667        6.8          5
vardas668 pavarde668       4.96          3
vardas669 pavarde669       6.99          7
vardas670 pavarde670        6.2          6
vardas671 pavarde671       5.84          3
vardas672 pavarde672       8.77         10
vardas673 pavarde673       7.75          6
vardas674 pavarde674       4.95          4
vardas675 pavarde675       6.39          6
vardas676 pavarde676       6.08          3
vardas677 pavarde677       8.82          9
vardas678 pavarde678       6.56          5
vardas679 pavarde679       7.31          5
vardas680 pavarde680       8.66          8
vardas681 pavarde681       5.93          5
vardas682 pavarde682       6.39          4
vardas683 pavarde683       7.48          7
vardas684 pavarde684        4.1          3
vardas685 pavarde685       6.02          5
vardas686 pavarde686        7.8          7
vardas687 pavarde687       6.16          4
vardas688 pavarde688       6.03          4
vardas689 pavarde689       7.01          6
vardas690 pavarde690        9.4          9
vardas691 pavarde691       7.48          7
vardas692 pavarde692        5.5          3
vardas693 pavarde693        5.1          2
vardas694 pavarde694       5.62          5
vardas695 pavarde695       6.92          8
vardas696 pavarde696       8.58          9
vardas697 pavarde697       7.52          6
vardas698 pavarde698        6.1          5
vardas699 pavarde699       5.42          3
vardas700 pavarde700       8.28          7
vardas701 pavarde701       8.26          8
vardas702 pavarde702       7.85          6
vardas703 pavarde703       7.57          6
vardas704 pavarde704       7.71          8
vardas705 pavarde705       6.94          6
vardas706 pavarde706       8.19          9
vardas707 pavarde707       6.84          5
vardas708 pavarde708       7.57          6
vardas709 pavarde709       5.51          3
vardas710 pavarde710        8.1          8
vardas711 pavarde711       7.62          5
vardas712 pavarde712       9.52          8
vardas713 pavarde713        6.9          4
vardas714 pavarde714       5.98          4
vardas715 pavarde715          6          5
vardas716 pavarde716          6          4
vardas717 pavarde717          9          8
vardas718 pavarde718          5          3
vardas719 pavarde719          7          6
vardas720 pavarde720          7          5
vardas721 pavarde721        7.6          6
vardas722 pavarde722       5.92          4
vardas723 pavarde723       5.38          4
vardas724 pavarde724       4.88          3
vardas725 pavarde725       7.18          7
vardas726 pavarde726       6.64          6
vardas727 pavarde727       5.93          5
vardas728 pavarde728       4.59          4
vardas729 pavarde729       6.12          4
vardas730 pavarde730       7.02          5
vardas731 pavarde731          5          3
vardas732 pavarde732        4.2          2
vardas733 pavarde733       8.84         10
vardas734 pavarde734       9.97          9
vardas735 pavarde735       6.19          3
vardas736 pavarde736       7.64          8
vardas737 pavarde737       5.73          3
vardas738 pavarde738       5.15          3
vardas739 pavarde739       7.63          6
vardas740 pavarde740       5.93          5
vardas741 pavarde741       6.39          6
vardas742 pavarde742       8.68          8
vardas743 pavarde743       8.54          6
vardas744 pavarde744       5.71          2
vardas745 pavarde745       6.54          8
vardas746 pavarde746       5.71          5
vardas747 pavarde747       7.14          6
vardas748 pavarde748       5.43          4
vardas749 pavarde749       6.69          5
vardas750 pavarde750       8.14          8
vardas751 pavarde751       10.2          9
vardas752 pavarde752       7.65          6
vardas753 pavarde753       5.53          3
vardas754 pavarde754       5.91          3
vardas755 pavarde755       5.78          5
vardas756 pavarde756       7.36          6
vardas757 pavarde757       6.87          5
vardas758 pavarde758       4.37          3
vardas759 pavarde759       9.47         10
vardas760 pavarde760       8.69          6
vardas761 pavarde761       4.34          2
vardas762 pavarde762       5.87          4
vardas763 pavarde763       8.17          7
vardas764 pavarde764       8.03          7
vardas765 pavarde765       5.21          3
vardas766 pavarde766       6.24          5
vardas767 pavarde767       4.85          3
vardas768 pavarde768       5.77          6
vardas769 pavarde769       7.15          5
vardas770 pavarde770       6.63          5
vardas771 pavarde771       7.13          6
vardas772 pavarde772       6.63          5
vardas773 pavarde773       6.93          5
vardas774 pavarde774       7.59          7
vardas775 pavarde775       8.32          7
vardas776 pavarde776       7.86          7
vardas777 pavarde777       5.37          2
vardas778 pavarde778       5.27          2
vardas779 pavarde779       6.85          5
vardas780 pavarde780       8.17          8
vardas781 pavarde781       7.83          7
vardas782 pavarde782       6.97          6
vardas783 pavarde783       6.79          5
vardas784 pavarde784       4.76          3
vardas785 pavarde785       4.75          3
vardas786 pavarde786       7.15          7
vardas787 pavarde787       8.83          9
vardas788 pavarde788       6.97          5
vardas789 pavarde789       7.39          5
vardas790 pavarde790       6.48          4
vardas791 pavarde791        6.7          4
vardas792 pavarde792       6.94          7
vardas793 pavarde793       5.59          5
vardas794 pavarde794       7.32          6
vardas795 pavarde795       7.06          5
vardas796 pavarde796       5.61          4
vardas797 pavarde797       9.32          8
vardas798 pavarde798       8.66          7
vardas799 pavarde799       5.93          4
vardas800 pavarde800       8.19          7
vardas801 pavarde801       7.44          5
vardas802 pavarde802       7.29          5
vardas803 pavarde803       8.46          7
vardas804 pavarde804       7.49          7
vardas805 pavarde805        8.1          7
vardas806 pavarde806       6.82          6
vardas807 pavarde807       6.56          4
vardas808 pavarde808       8.51          8
vardas809 pavarde809        6.5          5
vardas810 pavarde810        7.5          7
vardas811 pavarde811        6.1          3
vardas812 pavarde812       6.82          5
vardas813 pavarde813       5.76          2
vardas814 pavarde814       5.75          5
vardas815 pavarde815       5.15          5
vardas816 pavarde816       8.83          9
vardas817 pavarde817       4.97          3
vardas818 pavarde818       3.99          3
vardas819 pavarde819          7          6
vardas820 pavarde820        6.2          5
vardas821 pavarde821       5.24          4
vardas822 pavarde822       5.85          3
