Visi studentai:
Vardas    Pavarde      vidurkis     mediana
vardas69  pavarde69       6.93          6
vardas70  pavarde70       9.19          7
vardas71  pavarde71       5.84          4
vardas72  pavarde72       9.17          8
vardas73  pavarde73       6.83          6
vardas74  pavarde74       6.97          6
vardas75  pavarde75       8.39          8
vardas76  pavarde76       6.28          4
vardas77  pavarde77       6.86          5
vardas78  pavarde78       7.37          6
vardas79  pavarde79       5.87          5
vardas80  pavarde80       6.77          7
vardas81  pavarde81       6.35          6
vardas82  pavarde82       8.07          8
vardas83  pavarde83       7.81          6
vardas84  pavarde84       7.56          7
vardas85  pavarde85       10.3          9
vardas86  pavarde86       5.46          2
vardas87  pavarde87       8.29          8
vardas88  pavarde88       6.66          3
vardas89  pavarde89       6.73          6
vardas90  pavarde90       6.35          6
vardas91  pavarde91       5.67          4
vardas92  pavarde92       5.73          3
vardas93  pavarde93       7.95          8
vardas94  pavarde94       6.39          4
vardas95  pavarde95       5.88          2
vardas96  pavarde96       7.98          6
vardas97  pavarde97        5.8          1
vardas98  pavarde98       6.96          4
vardas99  pavarde99       7.59          7
vardas100 pavarde100       6.12          4
vardas101 pavarde101       9.82          9
vardas102 pavarde102       6.36          5
vardas103 pavarde103       7.47          7
vardas104 pavarde104       8.09          7
vardas105 pavarde105       9.62          8
vardas106 pavarde106       5.12          2
vardas107 pavarde107       5.62          5
vardas108 pavarde108       5.32          4
vardas109 pavarde109       4.46          3
vardas110 pavarde110       5.69          4
vardas111 pavarde111       8.54          9
vardas112 pavarde112       8.71          7
vardas113 pavarde113       7.54          6
vardas114 pavarde114       8.51          9
vardas115 pavarde115        7.9          7
vardas116 pavarde116       5.78          4
vardas117 pavarde117       6.96          7
vardas118 pavarde118       4.99          4
vardas119 pavarde119        3.6          3
vardas120 pavarde120       5.72          3
vardas121 pavarde121       3.74          2
vardas122 pavarde122       5.95          4
vardas123 pavarde123       7.19          4
vardas124 pavarde124       7.24          6
vardas125 pavarde125       6.65          4
vardas126 pavarde126       8.33          7
vardas127 pavarde127       8.27          7
vardas128 pavarde128       8.85          9
vardas129 pavarde129       5.97          4
vardas130 pavarde130       6.99          7
vardas131 pavarde131        5.4          2
vardas132 pavarde132       8.08          8
vardas133 pavarde133       7.62          6
vardas134 pavarde134       7.72          8
vardas135 pavarde135       7.14          6
vardas136 pavarde136       6.63          5
vardas137 pavarde137       7.53          6
vardas138 pavarde138       9.11          9
vardas139 pavarde139       6.22          4
vardas140 pavarde140       6.84          7
vardas141 pavarde141       6.97          6
vardas142 pavarde142       6.39          5
vardas143 pavarde143       6.28          5
vardas144 pavarde144       6.26          5
vardas145 pavarde145       8.25          8
vardas146 pavarde146       7.45          7
vardas147 pavarde147       7.29          7
vardas148 pavarde148       7.86          6
vardas149 pavarde149       6.77          5
vardas150 pavarde150       4.75          2
vardas151 pavarde151       7.75          8
vardas152 pavarde152       5.35          4
vardas153 pavarde153       8.47          9
vardas154 pavarde154       8.29          7
vardas155 pavarde155       9.06          8
vardas156 pavarde156       7.21          6
vardas157 pavarde157       8.24          7
vardas158 pavarde158       6.45          3
vardas159 pavarde159       6.69          7
vardas160 pavarde160       8.34          7
vardas161 pavarde161       7.67          6
vardas162 pavarde162       6.73          6
vardas163 pavarde163       7.95          7
vardas164 pavarde164       7.59          6
vardas165 pavarde165       5.92          5
vardas166 pavarde166       5.38          4
vardas167 pavarde167       7.28          6
vardas168 pavarde168       7.66          5
vardas169 pavarde169       8.93          7
vardas170 pavarde170       6.99          4
vardas171 pavarde171          5          2
vardas172 pavarde172        5.8          4
vardas173 pavarde173       7.36          6
vardas174 pavarde174       9.47         10
vardas175 pavarde175       5.09          3
vardas176 pavarde176       5.62          5
vardas177 pavarde177       7.32          7
vardas178 pavarde178       6.46          5
vardas179 pavarde179       6.89          5
vardas180 pavarde180       6.78          6
vardas181 pavarde181       5.96          4
vardas182 pavarde182       10.2          9
vardas183 pavarde183       6.04          2
vardas184 pavarde184       7.61          6
vardas185 pavarde185       8.92          7
vardas186 pavarde186       6.98          4
vardas187 pavarde187          6          4
vardas188 pavarde188        4.4          3
vardas189 pavarde189       6.48          5
vardas190 pavarde190        6.9          6
vardas191 pavarde191       5.18          3
vardas192 pavarde192       6.84          7
vardas193 pavarde193       7.17          4
vardas194 pavarde194       6.63          6
vardas195 pavarde195       5.93          5
vardas196 pavarde196       6.19          5
vardas197 pavarde197       9.04          8
vardas198 pavarde198       8.01          9
vardas199 pavarde199        7.6          6
vardas200 pavarde200       4.92          4
vardas201 pavarde201       4.98          3
vardas202 pavarde202          5          4
vardas203 pavarde203        7.6          8
vardas204 pavarde204       8.12          9
vardas205 pavarde205       6.42          6
vardas206 pavarde206       5.88          3
vardas207 pavarde207       4.78          4
vardas208 pavarde208       7.56          7
vardas209 pavarde209       5.31          3
vardas210 pavarde210       6.46          6
vardas211 pavarde211       6.89          5
vardas212 pavarde212       7.78          7
vardas213 pavarde213       7.96          6
vardas214 pavarde214       4.59          2
vardas215 pavarde215       7.52          9
vardas216 pavarde216        5.5          5
vardas217 pavarde217        8.9          8
vardas218 pavarde218       7.78          7
vardas219 pavarde219       6.76          6
vardas220 pavarde220       7.55          7
vardas221 pavarde221       9.11          8
vardas222 pavarde222       6.42          3
vardas223 pavarde223       6.68          5
vardas224 pavarde224       8.54          6
vardas225 pavarde225       7.31          5
vardas226 pavarde226       7.66          7
vardas227 pavarde227       6.93          5
vardas228 pavarde228       7.59          8
vardas229 pavarde229       4.52          1
vardas230 pavarde230        6.9          6
vardas231 pavarde231       5.38          3
vardas232 pavarde232       6.48          4
vardas233 pavarde233        8.1          6
vardas234 pavarde234       8.22          6
vardas235 pavarde235       8.64          7
vardas236 pavarde236       7.13          4
vardas237 pavarde237       8.83          9
vardas238 pavarde238       7.57          7
vardas239 pavarde239       8.11          6
vardas240 pavarde240       7.42          5
vardas241 pavarde241       6.08          4
vardas242 pavarde242       5.82          5
vardas243 pavarde243       5.76          3
vardas244 pavarde244       6.95          6
vardas245 pavarde245       5.99          6
vardas246 pavarde246        7.6          7
vardas247 pavarde247       8.32          7
vardas248 pavarde248       8.06          6
vardas249 pavarde249       6.21          4
vardas250 pavarde250       7.44          8
vardas251 pavarde251       6.69          4
vardas252 pavarde252       7.54          7
vardas253 pavarde253       7.71          6
vardas254 pavarde254       7.94          7
vardas255 pavarde255       8.99          7
vardas256 pavarde256        7.4          5
vardas257 pavarde257       7.88          8
vardas258 pavarde258       6.38          5
vardas259 pavarde259       7.68          8
vardas260 pavarde260       6.34          4
vardas261 pavarde261       7.47          7
vardas262 pavarde262       5.89          4
vardas263 pavarde263       3.98          3
vardas264 pavarde264        5.8          5
vardas265 pavarde265       5.56          4
vardas266 pavarde266       6.11          4
vardas267 pavarde267       8.82          8
vardas268 pavarde268       4.36          2
vardas269 pavarde269       5.07          4
vardas270 pavarde270       6.61          7
vardas271 pavarde271       5.52          5
vardas272 pavarde272        5.1          3
vardas273 pavarde273       9.42          9
vardas274 pavarde274       8.08          7
vardas275 pavarde275       6.82          6
vardas276 pavarde276       8.16          8
vardas277 pavarde277       5.83          4
vardas278 pavarde278       5.97          5
vardas279 pavarde279       5.59          4
vardas280 pavarde280       5.92          6
vardas281 pavarde281       6.38          4
vardas282 pavarde282       6.28          5
vardas283 pavarde283       6.66          7
vardas284 pavarde284       7.13          5
vardas285 pavarde285       8.23          7
vardas286 pavarde286       7.45          6
vardas287 pavarde287       5.29          4
vardas288 pavarde288       4.86          2
vardas289 pavarde289       6.17          6
vardas290 pavarde290       8.83          8
vardas291 pavarde291       8.57          8
vardas292 pavarde292       7.91          8
vardas293 pavarde293       5.58          4
vardas294 pavarde294       9.12          8
vardas295 pavarde295       9.22          9
vardas296 pavarde296       7.04          5
vardas297 pavarde297       7.41          5
vardas298 pavarde298       6.08          3
vardas299 pavarde299       6.62          5
vardas300 pavarde300       5.12          4
vardas301 pavarde301       4.62          4
vardas302 pavarde302       3.92          2
vardas303 pavarde303       5.58          3
vardas304 pavarde304       6.12          4
vardas305 pavarde305       5.42          3
vardas306 pavarde306       5.28          2
vardas307 pavarde307       7.86          7
vardas308 pavarde308       6.17          5
vardas309 pavarde309       5.63          4
vardas310 pavarde310       7.93          8
vardas311 pavarde311       9.19         10
vardas312 pavarde312       7.44          4
vardas313 pavarde313       7.69          5
vardas314 pavarde314       4.94          3
vardas315 pavarde315       5.19          4
vardas316 pavarde316       6.44          5
vardas317 pavarde317       6.89          6
vardas318 pavarde318       6.58          6
vardas319 pavarde319       6.72          7
vardas320 pavarde320       9.74          9
vardas321 pavarde321       7.55          7
vardas322 pavarde322       6.51          4
vardas323 pavarde323        8.5          8
vardas324 pavarde324        5.1          3
vardas325 pavarde325       7.02          6
vardas326 pavarde326        7.2          7
vardas327 pavarde327       7.24          5
vardas328 pavarde328       7.65          8
vardas329 pavarde329       5.53          3
vardas330 pavarde330       8.31          7
vardas331 pavarde331       6.46          5
vardas332 pavarde332       7.69          6
vardas333 pavarde333       4.94          3
vardas334 pavarde334       7.19          7
vardas335 pavarde335       6.64          6
vardas336 pavarde336       7.13          4
vardas337 pavarde337       4.63          1
vardas338 pavarde338       5.33          4
vardas339 pavarde339       6.87          5
vardas340 pavarde340       7.37          6
vardas341 pavarde341       7.27          5
vardas342 pavarde342       6.05          2
vardas343 pavarde343       4.61          3
vardas344 pavarde344       6.72          6
vardas345 pavarde345       8.94          9
vardas346 pavarde346       7.39          5
vardas347 pavarde347       9.88          9
vardas348 pavarde348       8.18          7
vardas349 pavarde349       6.44          3
vardas350 pavarde350       7.69          8
vardas351 pavarde351       7.34          6
vardas352 pavarde352       5.27          3
vardas353 pavarde353       8.25          9
vardas354 pavarde354       8.85          7
vardas355 pavarde355       6.37          6
vardas356 pavarde356       7.07          7
vardas357 pavarde357       8.01          6
vardas358 pavarde358        4.6          2
vardas359 pavarde359       6.52          7
vardas360 pavarde360        5.5          4
vardas361 pavarde361        6.1          4
vardas362 pavarde362       5.02          3
vardas363 pavarde363        8.2          9
vardas364 pavarde364       9.24          9
vardas365 pavarde365       8.05          6
vardas366 pavarde366       8.81          8
vardas367 pavarde367       6.96          4
vardas368 pavarde368       7.19          4
vardas369 pavarde369       7.24          6
vardas370 pavarde370       5.85          4
vardas371 pavarde371       7.37          6
vardas372 pavarde372       4.87          2
vardas373 pavarde373       8.17          8
vardas374 pavarde374       6.63          4
vardas375 pavarde375       3.73          2
vardas376 pavarde376       4.75          4
vardas377 pavarde377       4.75          3
vardas378 pavarde378       6.75          6
vardas379 pavarde379       6.95          8
vardas380 pavarde380       9.39         10
vardas381 pavarde381       7.28          4
vardas382 pavarde382       6.46          6
vardas383 pavarde383       6.89          6
vardas384 pavarde384       4.38          3
vardas385 pavarde385       8.88          9
vardas386 pavarde386       5.78          3
vardas387 pavarde387       5.96          4
vardas388 pavarde388       6.99          5
vardas389 pavarde389          6          4
vardas390 pavarde390        7.6          7
vardas391 pavarde391       6.32          6
vardas392 pavarde392       5.26          4
vardas393 pavarde393       5.85          4
vardas394 pavarde394       5.97          6
vardas395 pavarde395       6.79          8
vardas396 pavarde396       6.76          4
vardas397 pavarde397       7.55          8
vardas398 pavarde398       6.51          5
vardas399 pavarde399        7.7          8
vardas400 pavarde400       3.94          2
vardas401 pavarde401       6.19          5
vardas402 pavarde402       7.84          8
vardas403 pavarde403       6.77          7
vardas404 pavarde404       6.15          5
vardas405 pavarde405       8.43          9
vardas406 pavarde406       9.89          8
vardas407 pavarde407       7.38          6
vardas408 pavarde408       5.88          4
vardas409 pavarde409       5.78          5
vardas410 pavarde410       5.76          5
vardas411 pavarde411       8.35          9
vardas412 pavarde412       6.27          6
vardas413 pavarde413       6.25          5
vardas414 pavarde414       7.05          7
vardas415 pavarde415       5.01          5
vardas416 pavarde416        7.4          7
vardas417 pavarde417       5.88          5
vardas418 pavarde418       8.18          7
vardas419 pavarde419       6.84          6
vardas420 pavarde420       7.57          6
vardas421 pavarde421       4.51          2
vardas422 pavarde422        5.1          3
vardas423 pavarde423       5.02          3
vardas424 pavarde424          5          4
vardas425 pavarde425        8.2          7
vardas426 pavarde426       4.84          2
vardas427 pavarde427       7.77          7
vardas428 pavarde428       7.95          5
vardas429 pavarde429       9.39          9
vardas430 pavarde430       6.08          3
vardas431 pavarde431       5.42          5
vardas432 pavarde432       8.68          9
vardas433 pavarde433       7.94          6
vardas434 pavarde434       6.39          2
vardas435 pavarde435       4.68          3
vardas436 pavarde436       6.34          6
vardas437 pavarde437       7.27          5
vardas438 pavarde438       6.05          3
vardas439 pavarde439       4.01          2
vardas440 pavarde440        7.6          6
vardas441 pavarde441       5.92          5
vardas442 pavarde442       6.18          4
vardas443 pavarde443       7.24          8
vardas444 pavarde444       6.65          6
vardas445 pavarde445       5.73          4
vardas446 pavarde446       6.15          5
vardas447 pavarde447       6.23          5
vardas448 pavarde448       6.65          6
vardas449 pavarde449       6.93          6
vardas450 pavarde450       6.19          6
vardas451 pavarde451       7.24          6
vardas452 pavarde452       6.65          6
vardas453 pavarde453       8.13          7
vardas454 pavarde454       6.83          6
vardas455 pavarde455       6.97          4
vardas456 pavarde456       7.79          8
vardas457 pavarde457       7.36          6
vardas458 pavarde458       5.07          3
vardas459 pavarde459       7.81          8
vardas460 pavarde460       6.56          6
vardas461 pavarde461       8.11          5
vardas462 pavarde462       7.82          7
vardas463 pavarde463       8.96          7
vardas464 pavarde464       7.19          4
vardas465 pavarde465       9.64          9
vardas466 pavarde466       8.13          6
vardas467 pavarde467       6.23          5
vardas468 pavarde468       6.45          6
vardas469 pavarde469       9.49          8
vardas470 pavarde470        8.7          8
vardas471 pavarde471       8.74          8
vardas472 pavarde472       6.55          5
vardas473 pavarde473       7.31          6
vardas474 pavarde474       6.86          6
vardas475 pavarde475       8.17          7
vardas476 pavarde476       6.43          5
vardas477 pavarde477       7.49          7
vardas478 pavarde478        6.3          4
vardas479 pavarde479       4.86          2
vardas480 pavarde480       6.97          6
vardas481 pavarde481       8.19          7
vardas482 pavarde482       5.24          4
vardas483 pavarde483       5.65          5
vardas484 pavarde484       6.53          5
vardas485 pavarde485       6.31          5
vardas486 pavarde486       7.86          8
vardas487 pavarde487       5.17          3
vardas488 pavarde488       6.23          4
vardas489 pavarde489       6.65          5
vardas490 pavarde490       7.93          5
vardas491 pavarde491       9.19          7
vardas492 pavarde492       8.44          9
vardas493 pavarde493       5.89          2
vardas494 pavarde494       6.18          2
vardas495 pavarde495       7.24          8
vardas496 pavarde496       7.65          6
vardas497 pavarde497       7.73          6
vardas498 pavarde498       9.15          9
vardas499 pavarde499       9.83          9
vardas500 pavarde500       7.97          6
vardas501 pavarde501       8.39          8
vardas502 pavarde502       6.48          4
vardas503 pavarde503        5.9          3
vardas504 pavarde504       3.78          3
vardas505 pavarde505       5.16          4
vardas506 pavarde506       7.43          9
vardas507 pavarde507       8.49          8
vardas508 pavarde508        7.1          4
vardas509 pavarde509       9.02          9
vardas510 pavarde510        5.4          3
vardas511 pavarde511       7.28          6
vardas512 pavarde512       7.86          7
vardas513 pavarde513       6.97          5
vardas514 pavarde514       6.79          6
vardas515 pavarde515       6.56          6
vardas516 pavarde516       7.91          7
vardas517 pavarde517       5.98          5
vardas518 pavarde518        6.6          6
vardas519 pavarde519       6.52          5
vardas520 pavarde520        5.7          4
vardas521 pavarde521       5.14          4
vardas522 pavarde522       5.43          2
vardas523 pavarde523       6.89          8
vardas524 pavarde524       6.58          6
vardas525 pavarde525       8.12          7
vardas526 pavarde526       7.22          6
vardas527 pavarde527       5.04          3
vardas528 pavarde528       6.21          6
vardas529 pavarde529       5.04          3
vardas530 pavarde530       7.01          6
vardas531 pavarde531        6.2          2
vardas532 pavarde532       8.24          9
vardas533 pavarde533       7.05          7
vardas534 pavarde534       5.61          5
vardas535 pavarde535       5.52          2
vardas536 pavarde536        6.1          5
vardas537 pavarde537       7.82          5
vardas538 pavarde538       6.96          6
vardas539 pavarde539       7.39          6
vardas540 pavarde540       5.28          3
vardas541 pavarde541       7.06          5
vardas542 pavarde542       9.21          8
vardas543 pavarde543       7.64          7
vardas544 pavarde544       4.93          4
vardas545 pavarde545       7.79          9
vardas546 pavarde546       5.76          5
vardas547 pavarde547       5.95          4
vardas548 pavarde548       5.19          5
vardas549 pavarde549       6.84          8
vardas550 pavarde550       5.37          4
vardas551 pavarde551       6.87          5
vardas552 pavarde552       6.77          5
vardas553 pavarde553       4.95          3
vardas554 pavarde554       7.39          8
vardas555 pavarde555       7.48          5
vardas556 pavarde556        9.1          7
vardas557 pavarde557       8.62          7
vardas558 pavarde558       7.52          5
vardas559 pavarde559        6.7          5
vardas560 pavarde560       6.14          6
vardas561 pavarde561       8.03          7
vardas562 pavarde562       6.81          5
vardas563 pavarde563       7.36          5
vardas564 pavarde564       5.67          3
vardas565 pavarde565       4.53          3
vardas566 pavarde566       6.91          6
vardas567 pavarde567       6.38          5
vardas568 pavarde568       8.08          8
vardas569 pavarde569       5.82          4
vardas570 pavarde570       5.96          5
vardas571 pavarde571       5.59          3
vardas572 pavarde572       5.32          4
vardas573 pavarde573       7.86          5
vardas574 pavarde574       6.97          5
vardas575 pavarde575       6.59          3
vardas576 pavarde576       9.92         10
vardas577 pavarde577       6.78          4
vardas578 pavarde578       6.16          4
vardas579 pavarde579       5.03          3
vardas580 pavarde580       7.01          7
vardas581 pavarde581        4.6          3
vardas582 pavarde582       7.12          5
vardas583 pavarde583       5.22          4
vardas584 pavarde584       5.44          6
vardas585 pavarde585       7.69          6
vardas586 pavarde586       6.54          4
vardas587 pavarde587       7.31          6
vardas588 pavarde588       6.06          4
vardas589 pavarde589       4.21          2
vardas590 pavarde590       5.64          5
vardas591 pavarde591       6.33          5
vardas592 pavarde592       5.67          5
vardas593 pavarde593       8.13          8
vardas594 pavarde594       5.23          2
vardas595 pavarde595       5.05          4
vardas596 pavarde596       6.01          6
vardas597 pavarde597        7.8          7
vardas598 pavarde598       8.16          6
vardas599 pavarde599       8.23          7
vardas600 pavarde600       7.05          4
vardas601 pavarde601       7.61          7
vardas602 pavarde602       7.52          5
vardas603 pavarde603        7.3          5
vardas604 pavarde604       8.86          9
vardas605 pavarde605       7.97          8
vardas606 pavarde606       6.59          4
vardas607 pavarde607       7.12          5
vardas608 pavarde608       6.42          5
vardas609 pavarde609       9.28          9
vardas610 pavarde610       5.66          3
vardas611 pavarde611       6.53          7
vardas612 pavarde612       6.51          7
vardas613 pavarde613        7.9          8
vardas614 pavarde614       8.18          7
vardas615 pavarde615       6.24          5
vardas616 pavarde616       7.65          6
vardas617 pavarde617       4.53          3
vardas618 pavarde618       5.71          6
vardas619 pavarde619       6.14          4
vardas620 pavarde620       7.63          6
vardas621 pavarde621       8.93          8
vardas622 pavarde622       10.4          9
vardas623 pavarde623       5.88          2
vardas624 pavarde624       6.98          6
vardas625 pavarde625          7          7
vardas626 pavarde626        7.2          5
vardas627 pavarde627       8.04          7
vardas628 pavarde628         10         10
vardas629 pavarde629        7.8          7
vardas630 pavarde630       7.96          8
vardas631 pavarde631       7.59          6
vardas632 pavarde632       5.52          5
vardas633 pavarde633        8.9          9
vardas634 pavarde634       7.78          7
vardas635 pavarde635       7.36          5
vardas636 pavarde636       7.07          5
vardas637 pavarde637       5.21          5
vardas638 pavarde638       7.64          7
vardas639 pavarde639       7.33          5
vardas640 pavarde640       7.27          8
vardas641 pavarde641       4.85          1
vardas642 pavarde642       7.77          8
vardas643 pavarde643       6.95          4
vardas644 pavarde644       5.99          3
vardas645 pavarde645        8.4          9
vardas646 pavarde646       6.48          5
vardas647 pavarde647        7.1          7
vardas648 pavarde648       6.62          5
vardas649 pavarde649       6.52          7
vardas650 pavarde650        8.3          6
vardas651 pavarde651       7.26          5
vardas652 pavarde652       7.05          6
vardas653 pavarde653       7.21          5
vardas654 pavarde654       6.64          6
vardas655 pavarde655       6.93          5
vardas656 pavarde656       6.99          6
vardas657 pavarde657        6.4          4
vardas658 pavarde658       5.48          3
vardas659 pavarde659        7.3          6
vardas660 pavarde660       8.06          8
vardas661 pavarde661       7.41          5
vardas662 pavarde662       6.48          6
vardas663 pavarde663        5.3          4
vardas664 pavarde664       7.26          6
vardas665 pavarde665       5.05          2
vardas666 pavarde666       6.01          5
vardas667 pavarde667          6          5
vardas668 pavarde668          6          5
vardas669 pavarde669        5.4          5
vardas670 pavarde670       6.88          6
vardas671 pavarde671       4.78          3
vardas672 pavarde672       5.76          3
vardas673 pavarde673       5.75          5
vardas674 pavarde674       3.95          3
vardas675 pavarde675       4.39          3
vardas676 pavarde676       4.48          3
vardas677 pavarde677        6.9          6
vardas678 pavarde678       9.18         10
vardas679 pavarde679       8.64          7
vardas680 pavarde680       6.73          5
vardas681 pavarde681       6.75          5
vardas682 pavarde682       7.95          7
vardas683 pavarde683       6.19          4
vardas684 pavarde684       6.44          4
vardas685 pavarde685       9.69          9
vardas686 pavarde686       5.74          4
vardas687 pavarde687       6.95          5
vardas688 pavarde688       5.19          3
vardas689 pavarde689       5.24          4
vardas690 pavarde690       6.85          6
vardas691 pavarde691       7.77          9
vardas692 pavarde692       6.55          2
vardas693 pavarde693       6.51          6
vardas694 pavarde694        5.7          5
vardas695 pavarde695       5.54          4
vardas696 pavarde696       10.1         10
vardas697 pavarde697       9.02          7
vardas698 pavarde698        7.8          5
vardas699 pavarde699       6.96          5
vardas700 pavarde700       8.39          8
vardas701 pavarde701       5.08          4
vardas702 pavarde702       8.22          9
vardas703 pavarde703       7.44          4
vardas704 pavarde704       7.69          6
vardas705 pavarde705       7.94          7
vardas706 pavarde706       6.59          5
vardas707 pavarde707       4.72          4
vardas708 pavarde708       7.94          8
vardas709 pavarde709       5.99          2
vardas710 pavarde710          9          7
vardas711 pavarde711        7.4          6
vardas712 pavarde712       6.88          6
vardas713 pavarde713       7.18          5
vardas714 pavarde714       6.24          5
vardas715 pavarde715       7.25          7
vardas716 pavarde716       4.85          4
vardas717 pavarde717       5.17          5
vardas718 pavarde718       5.43          5
vardas719 pavarde719       6.09          6
vardas720 pavarde720       5.02          2
vardas721 pavarde721          5          2
vardas722 pavarde722        4.8          2
vardas723 pavarde723       6.76          6
vardas724 pavarde724       5.95          4
vardas725 pavarde725       5.99          3
vardas726 pavarde726        5.8          2
vardas727 pavarde727       7.36          6
vardas728 pavarde728       7.07          5
vardas729 pavarde729       7.41          6
vardas730 pavarde730       8.48          8
vardas731 pavarde731        7.5          7
vardas732 pavarde732        7.7          7
vardas733 pavarde733       7.34          6
vardas734 pavarde734       8.67          8
vardas735 pavarde735       6.73          3
vardas736 pavarde736       7.15          6
vardas737 pavarde737       10.2         10
vardas738 pavarde738       6.85          5
vardas739 pavarde739       7.77          8
vardas740 pavarde740       7.15          7
vardas741 pavarde741       7.03          6
vardas742 pavarde742       7.61          6
vardas743 pavarde743       5.12          3
vardas744 pavarde744       7.42          6
vardas745 pavarde745       6.48          4
vardas746 pavarde746        7.3          6
vardas747 pavarde747       4.66          2
vardas748 pavarde748       5.33          4
vardas749 pavarde749       7.67          8
vardas750 pavarde750       7.13          6
vardas751 pavarde751       7.83          7
vardas752 pavarde752       9.77          8
vardas753 pavarde753       8.55          8
vardas754 pavarde754       7.31          5
vardas755 pavarde755       7.26          4
vardas756 pavarde756       7.25          6
vardas757 pavarde757       7.45          7
vardas758 pavarde758       6.49          6
vardas759 pavarde759        5.7          5
vardas760 pavarde760       8.14          8
vardas761 pavarde761       8.43          8
vardas762 pavarde762       6.49          6
vardas763 pavarde763        5.1          3
vardas764 pavarde764       7.82          9
vardas765 pavarde765       7.16          5
vardas766 pavarde766       8.63          9
vardas767 pavarde767       4.93          3
vardas768 pavarde768       6.79          5
vardas769 pavarde769       5.56          3
vardas770 pavarde770       5.31          3
vardas771 pavarde771       7.66          7
vardas772 pavarde772       6.93          4
vardas773 pavarde773       6.99          7
vardas774 pavarde774        6.4          6
vardas775 pavarde775       4.08          3
vardas776 pavarde776       6.22          5
vardas777 pavarde777       7.84          9
vardas778 pavarde778       6.17          4
vardas779 pavarde779       7.43          5
vardas780 pavarde780       8.49          7
vardas781 pavarde781        8.5          8
vardas782 pavarde782        7.1          6
vardas783 pavarde783       8.82         10
vardas784 pavarde784       6.36          4
vardas785 pavarde785       6.07          3
vardas786 pavarde786       8.81          8
vardas787 pavarde787       9.56          8
vardas788 pavarde788       6.11          5
vardas789 pavarde789       6.22          6
vardas790 pavarde790       5.84          4
vardas791 pavarde791       6.97          5
vardas792 pavarde792       8.59          8
vardas793 pavarde793       6.92          4
vardas794 pavarde794       5.58          4
vardas795 pavarde795       6.92          7
vardas796 pavarde796       7.38          7
vardas797 pavarde797       8.08          6
vardas798 pavarde798       8.22          7
vardas799 pavarde799       5.44          2
vardas800 pavarde800       8.49          8
vardas801 pavarde801        8.3          8
vardas802 pavarde802       8.86          8
vardas803 pavarde803       6.17          3
vardas804 pavarde804       7.63          6
vardas805 pavarde805       6.13          5
vardas806 pavarde806       7.23          7
vardas807 pavarde807       6.85          6
vardas808 pavarde808       6.17          4
vardas809 pavarde809       5.43          4
vardas810 pavarde810       8.29          7
vardas811 pavarde811       7.86          6
vardas812 pavarde812       6.57          6
vardas813 pavarde813       5.71          4
vardas814 pavarde814       6.54          4
vardas815 pavarde815       6.91          7
vardas816 pavarde816       7.98          6
vardas817 pavarde817          8          6
vardas818 pavarde818        7.2          6
vardas819 pavarde819       6.84          5
vardas820 pavarde820       7.77          8
vardas821 pavarde821       7.35          6
